D o n e      M o n d a y
2019-09-09 5
2019-09-16 10
2019-09-23 17
2019-10-14 9
2019-10-21 18
2019-10-28 13
2019-11-11 5
2019-11-18 30
2019-11-25 13
2019-12-02 13
2019-12-09 7
2019-12-02 12
2020-01-06 15
2020-01-20 17
2020-01-27 10
2020-02-17 5
2020-02-24 13
2020-03-02 17
2020-03-09 11
2020-03-16 15
2020-03-23 19
2020-03-30 17
2020-04-06 17
2020-04-20 11
2020-04-27 18
2020-05-04 10
2020-05-11 16
2020-05-18 12
2020-06-01 20
2020-06-08 11
2020-06-15 14
2020-06-22 20
2020-06-29 13
2020-07-06 7
2020-07-13 9
2020-07-20 17
2020-07-27 7
2020-08-03 17
2020-08-10 9
2020-08-17 9
2020-08-24 7
2020-09-07 12
2020-09-14 15
2020-09-21 21
2020-10-12 13
2020-10-19 13
2020-10-26 8
2020-11-02 17
2020-11-09 12
2020-11-16 10
2020-11-23 16
2020-11-30 23
2020-12-07 7
2020-12-14 9
2020-12-21 7
D o n e      T u e s d a y
2019-09-10 6
2019-09-17 7
2019-10-15 12
2019-10-22 14
2019-10-29 15
2019-11-05 5
2019-11-12 9
2019-11-19 6
2019-11-26 8
2019-12-03 14
2019-12-31 10
2020-01-07 13
2020-01-14 10
2020-01-21 16
2020-01-28 7
2020-02-19 20
2020-02-25 10
2020-03-03 12
2020-03-10 16
2020-03-17 9
2020-03-24 0
2020-04-01 14
2020-04-07 15
2020-04-14 11
2020-04-21 19
2020-04-28 16
2020-05-12 0
2020-05-20 20
2020-05-26 19
2020-06-03 8
2020-06-09 8
2020-06-16 16
2020-06-23 0
2020-06-24 16
2020-06-30 2
2020-07-07 10
2020-07-14 6
2020-07-21 7
2020-07-27 9
2020-08-04 5
2020-08-18 12
2020-08-25 9
2020-09-02 12
2020-09-08 11
2020-09-15 10
2020-09-22 13
2020-10-13 10
2020-10-20 15
2020-10-27 13
2020-11-03 8
2020-11-10 13
2020-11-17 15
2020-11-24 16
2020-12-01 4
2020-12-08 4
2020-12-15 11
2020-12-22 5
D o n e      W e d n e s d a y
2019-09-11 7
2019-09-18 6
2019-09-25 12
2019-10-16 11
2019-10-23 10
2019-10-30 11
2019-11-06 18
2019-11-13 14
2019-11-20 13
2019-11-27 4
2019-12-04 13
2020-01-08 7
2020-01-15 11
2020-01-29 5
2020-02-19 9
2020-02-26 9
2020-03-04 10
2020-03-11 4
2020-03-18 15
2020-03-25 10
2020-04-01 5
2020-04-08 15
2020-04-15 6
2020-04-22 15
2020-04-29 3
2020-05-06 7
2020-05-13 11
2020-05-20 10
2020-05-27 13
2020-06-03 11
2020-06-10 3
2020-06-17 29
2020-07-02 6
2020-07-15 7
2020-07-22 21
2020-07-29 11
2020-08-05 17
2020-08-12 12
2020-08-19 9
2020-08-26 12
2020-09-02 16
2020-09-09 5
2020-09-16 11
2020-09-23 17
2020-10-07 12
2020-10-14 11
2020-10-21 11
2020-10-28 8
2020-11-04 13
2020-11-11 8
2020-11-18 12
2020-11-25 9
2020-12-02 13
2020-12-09 13
2020-12-16 12
D o n e      T h u r s d a y
2019-09-05 16
2019-09-12 20
2019-09-19 17
2019-09-26 15
2019-10-17 7
2019-10-24 11
2019-10-31 6
2019-11-07 11
2019-11-14 4
2019-11-21 5
2019-12-05 5
2019-12-20 10
2020-01-01 14
2020-01-09 11
2020-01-16 15
2020-01-23 9
2020-01-30 15
2020-02-20 12
2020-02-27 8
2020-03-05 7
2020-03-12 16
2020-03-19 9
2020-03-26 5
2020-04-02 10
2020-04-09 15
2020-04-16 4
2020-04-23 11
2020-04-30 12
2020-05-07 11
2020-05-14 4
2020-05-21 4
2020-05-28 4
2020-06-04 6
2020-06-11 8
2020-06-18 8
2020-06-25 8
2020-07-02 3
2020-07-09 13
2020-07-23 12
2020-07-30 9
2020-08-06 9
2020-08-13 8
2020-08-27 14
2020-09-03 11
2020-09-10 10
2020-09-17 13
2020-10-08 16
2020-10-15 15
2020-10-22 9
2020-10-29 9
2020-11-05 9
2020-11-12 6
2020-11-19 0
2020-11-26 6
2020-12-03 13
2020-12-10 8
2020-12-17 10
2020-12-24 10
D o n e      F r i d a y
2019-09-06 7
2019-09-13 7
2019-09-20 9
2019-09-29 7
2019-10-18 9
2019-10-25 12
2019-11-01 4
2019-11-08 14
2019-11-15 7
2019-11-29 11
2019-12-06 2
2019-12-13 10
2020-01-02 6
2020-01-09 11
2020-01-24 4
2020-02-20 5
2020-02-28 4
2020-03-06 4
2020-03-13 9
2020-03-20 9
2020-03-27 9
2020-04-03 12
2020-04-17 12
2020-04-24 15
2020-05-01 9
2020-05-15 7
2020-05-22 13
2020-05-28 8
2020-06-05 10
2020-06-12 8
2020-06-26 9
2020-07-03 11
2020-07-17 10
2020-07-24 12
2020-07-31 7
2020-08-07 9
2020-08-14 4
2020-08-21 14
2020-08-28 3
2020-09-04 8
2020-09-11 5
2020-09-18 10
2020-09-25 10
2020-10-09 11
2020-10-16 5
2020-10-23 5
2020-10-30 14
2020-11-06 13
2020-11-13 5
2020-11-20 14
2020-11-27 9
2020-12-04 6
2020-12-11 5
2020-12-18 8
